user_id,item_id,rating
u01,i01,3.7
u01,i02,4.8
u01,i06,4.5
u01,i03,4.5
u01,i05,4.0
u01,i34,4.6
u01,i31,4.0
u01,i32,4.2
u01,i33,4.2
u01,i11,2.6
u01,i08,2.2
u01,i13,2.3
u01,i18,2.4
u01,i21,2.6
u01,i24,2.3
u01,i30,2.3
u01,i27,2.1
u02,i08,4.3
u02,i11,4.8
u02,i09,3.9
u02,i07,4.7
u02,i12,4.6
u02,i05,4.2
u02,i03,4.3
u02,i02,4.9
u02,i04,4.4
u02,i13,2.4
u02,i15,2.5
u02,i23,2.0
u02,i21,2.0
u02,i25,1.7
u02,i27,1.9
u02,i31,2.6
u02,i35,2.0
u03,i16,4.3
u03,i14,4.3
u03,i17,4.5
u03,i18,4.2
u03,i13,4.6
u03,i30,4.0
u03,i29,5.0
u03,i27,3.7
u03,i28,3.8
u03,i05,2.5
u03,i06,2.7
u03,i10,3.2
u03,i07,2.9
u03,i20,2.6
u03,i22,2.5
u03,i35,2.7
u03,i32,2.1
u04,i19,4.4
u04,i21,4.6
u04,i20,3.8
u04,i23,4.2
u04,i24,5.0
u04,i05,4.0
u04,i04,3.5
u04,i01,3.7
u04,i06,3.7
u04,i08,2.4
u04,i09,2.2
u04,i14,2.1
u04,i15,2.4
u04,i29,2.5
u04,i28,2.3
u04,i34,2.1
u04,i36,2.2
u05,i25,4.0
u05,i27,4.6
u05,i29,4.2
u05,i30,4.7
u05,i26,4.2
u05,i14,4.6
u05,i13,3.8
u05,i17,3.9
u05,i18,4.3
u05,i01,1.9
u05,i03,2.4
u05,i08,2.8
u05,i10,1.8
u05,i24,2.4
u05,i23,2.4
u05,i31,2.6
u05,i32,1.9
u06,i31,4.1
u06,i36,4.3
u06,i32,4.2
u06,i35,4.8
u06,i34,5.0
u06,i11,4.2
u06,i08,4.4
u06,i12,3.7
u06,i09,4.1
u06,i01,1.9
u06,i05,2.1
u06,i14,2.7
u06,i16,2.3
u06,i21,2.8
u06,i19,2.5
u06,i27,3.3
u06,i26,2.4
u07,i15,4.4
u07,i14,4.8
u07,i18,4.9
u07,i16,4.4
u07,i17,4.2
u07,i05,3.9
u07,i02,4.3
u07,i01,4.1
u07,i06,4.3
u07,i09,3.0
u07,i12,2.4
u07,i19,2.1
u07,i22,2.7
u07,i26,2.4
u07,i27,2.7
u07,i31,2.7
u07,i32,2.0
u08,i22,5.0
u08,i19,4.4
u08,i24,4.8
u08,i21,3.9
u08,i20,4.7
u08,i09,3.9
u08,i12,4.3
u08,i11,4.0
u08,i10,4.2
u08,i03,2.2
u08,i06,2.5
u08,i14,2.9
u08,i18,2.1
u08,i30,2.3
u08,i25,2.2
u08,i35,2.9
u08,i34,2.2
u09,i27,4.1
u09,i28,4.6
u09,i25,4.4
u09,i30,4.3
u09,i29,4.8
u09,i33,4.3
u09,i32,3.9
u09,i35,3.3
u09,i36,3.9
u09,i05,2.4
u09,i04,2.4
u09,i08,2.6
u09,i09,3.0
u09,i14,2.5
u09,i18,2.5
u09,i19,2.4
u09,i20,2.8
u10,i11,4.7
u10,i12,4.2
u10,i07,5.0
u10,i09,4.5
u10,i08,3.9
u10,i16,3.7
u10,i14,4.5
u10,i13,4.2
u10,i18,4.0
u10,i06,1.6
u10,i04,2.8
u10,i24,3.0
u10,i20,2.9
u10,i28,2.1
u10,i25,2.5
u10,i33,2.5
u10,i35,1.8
u11,i02,4.1
u11,i03,3.4
u11,i01,4.9
u11,i04,5.0
u11,i05,4.4
u11,i28,4.1
u11,i26,4.2
u11,i30,4.6
u11,i27,4.4
u11,i09,2.5
u11,i10,2.4
u11,i16,2.4
u11,i14,1.8
u11,i24,2.2
u11,i20,2.7
u11,i36,2.3
u11,i35,2.4
u12,i32,4.1
u12,i35,4.3
u12,i31,4.5
u12,i34,5.0
u12,i33,4.8
u12,i20,4.2
u12,i23,4.1
u12,i21,3.5
u12,i19,3.8
u12,i06,2.2
u12,i03,2.5
u12,i12,2.4
u12,i07,2.7
u12,i16,2.5
u12,i13,2.4
u12,i29,3.1
u12,i26,2.5
u13,i10,4.3
u13,i09,4.0
u13,i08,4.0
u13,i11,4.8
u13,i07,4.5
u13,i35,4.3
u13,i34,4.3
u13,i32,4.1
u13,i36,3.6
u13,i03,2.4
u13,i02,2.8
u13,i13,2.2
u13,i15,2.5
u13,i23,2.3
u13,i21,2.8
u13,i30,2.1
u13,i25,2.8
u14,i15,4.4
u14,i16,4.3
u14,i14,4.2
u14,i18,4.7
u14,i17,4.5
u14,i34,2.8
u14,i32,4.0
u14,i36,3.9
u14,i35,4.4
u14,i02,2.2
u14,i06,3.2
u14,i08,2.8
u14,i10,2.2
u14,i21,2.8
u14,i19,2.5
u14,i27,2.4
u14,i28,2.6
u15,i19,4.0
u15,i21,5.0
u15,i22,4.7
u15,i23,4.1
u15,i24,4.7
u15,i25,3.3
u15,i28,4.9
u15,i26,3.7
u15,i29,4.6
u15,i05,2.1
u15,i02,2.5
u15,i11,2.0
u15,i10,2.7
u15,i15,2.3
u15,i18,2.5
u15,i33,2.4
u15,i32,1.9
u16,i03,4.7
u16,i01,4.8
u16,i04,4.3
u16,i02,4.3
u16,i06,4.8
u16,i10,3.9
u16,i09,3.6
u16,i07,4.9
u16,i08,3.9
u16,i18,2.1
u16,i15,1.6
u16,i23,2.6
u16,i22,2.0
u16,i28,2.4
u16,i30,2.7
u16,i32,2.0
u16,i34,2.4
u17,i25,5.0
u17,i30,4.9
u17,i28,4.4
u17,i29,5.0
u17,i27,4.4
u17,i03,3.8
u17,i06,4.5
u17,i02,3.6
u17,i04,3.4
u17,i11,2.7
u17,i10,2.4
u17,i14,2.4
u17,i15,2.2
u17,i21,2.3
u17,i23,2.2
u17,i36,2.1
u17,i34,2.2
u18,i20,4.4
u18,i23,4.8
u18,i22,4.3
u18,i21,5.0
u18,i19,4.6
u18,i31,4.0
u18,i32,4.1
u18,i33,4.3
u18,i36,4.1
u18,i01,2.7
u18,i06,1.8
u18,i09,2.1
u18,i11,1.6
u18,i16,3.0
u18,i17,3.0
u18,i29,2.6
u18,i30,2.0
u19,i14,4.5
u19,i18,4.6
u19,i17,4.3
u19,i15,4.8
u19,i13,4.4
u19,i11,3.9
u19,i08,4.2
u19,i10,4.4
u19,i09,3.3
u19,i04,2.5
u19,i01,2.3
u19,i19,2.7
u19,i21,2.3
u19,i28,2.8
u19,i30,2.1
u19,i34,1.6
u19,i35,2.7
u20,i32,4.3
u20,i33,4.9
u20,i34,4.8
u20,i35,4.4
u20,i36,4.4
u20,i30,4.0
u20,i25,4.7
u20,i27,3.9
u20,i28,4.1
u20,i01,1.6
u20,i02,2.6
u20,i12,3.1
u20,i07,2.0
u20,i17,3.5
u20,i18,2.4
u20,i24,1.4
u20,i21,2.2
u21,i06,5.0
u21,i01,4.8
u21,i04,4.3
u21,i03,4.5
u21,i02,4.4
u21,i18,3.9
u21,i13,3.9
u21,i14,3.9
u21,i17,3.9
u21,i07,2.7
u21,i08,2.0
u21,i19,2.1
u21,i22,1.8
u21,i25,2.8
u21,i27,2.1
u21,i35,2.6
u21,i32,2.5
u22,i12,5.0
u22,i11,4.2
u22,i08,4.7
u22,i07,4.3
u22,i10,4.5
u22,i28,4.1
u22,i25,4.1
u22,i29,3.8
u22,i27,4.1
u22,i06,2.1
u22,i04,2.6
u22,i13,2.3
u22,i18,2.4
u22,i21,3.2
u22,i23,2.0
u22,i32,2.8
u22,i34,1.4
u23,i23,4.6
u23,i21,4.1
u23,i24,4.0
u23,i20,4.9
u23,i19,4.9
u23,i14,4.1
u23,i18,4.7
u23,i17,4.2
u23,i13,4.5
u23,i01,2.5
u23,i04,2.3
u23,i12,2.0
u23,i11,2.1
u23,i30,2.3
u23,i29,2.8
u23,i35,2.6
u23,i32,2.5
u24,i35,4.9
u24,i34,4.1
u24,i33,4.5
u24,i31,5.0
u24,i36,3.6
u24,i01,4.4
u24,i06,4.4
u24,i05,3.6
u24,i02,3.9
u24,i08,2.0
u24,i12,3.0
u24,i15,2.7
u24,i16,2.8
u24,i19,2.4
u24,i24,2.8
u24,i30,2.3
u24,i28,2.8
