mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.11828128496805827,0.0009705047312153305,3.5762786865234375e-06,6.743495761743046e-07,,sqrt,2,80,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 80}",0.9603340292275574,0.9582463465553236,0.965553235908142,0.9613778705636743,0.0030729856876575926,1
0.12506858507792154,0.0007158044811698923,4.0531158447265625e-06,9.73339773330362e-07,16,sqrt,2,80,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 80}",0.9603340292275574,0.9582463465553236,0.965553235908142,0.9613778705636743,0.0030729856876575926,1
0.2980012893676758,0.004160608684648455,3.5762786865234375e-06,5.150429962800233e-07,,0.5,1,80,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 80}",0.9613778705636743,0.9561586638830898,0.9530271398747391,0.9568545581071678,0.0034445006738384088,3
0.30660128593444824,0.004880884483410912,5.3246815999348956e-06,1.1894408501860113e-06,16,0.5,1,80,"{'max_depth': 16, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 80}",0.9613778705636743,0.9561586638830898,0.9530271398747391,0.9568545581071678,0.0034445006738384088,3
0.12548319498697916,0.001298576819524815,4.2120615641276044e-06,4.052336624139774e-07,16,sqrt,1,80,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 80}",0.954070981210856,0.9572025052192067,0.9572025052192067,0.9561586638830898,0.0014762145745021752,5
0.14371585845947266,0.018570116801683564,6.039937337239583e-06,2.2813002418529706e-06,,sqrt,1,80,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 80}",0.954070981210856,0.9572025052192067,0.9561586638830898,0.9558107167710509,0.0013018988819672621,6
0.3470009962717692,0.03560795519201269,4.0531158447265625e-06,7.786718186642895e-07,,0.5,2,80,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'n_estimators': 80}",0.9551148225469729,0.9561586638830898,0.954070981210856,0.9551148225469729,0.0008522928819704797,7
0.2933205763498942,0.0005215210214587611,4.291534423828125e-06,1.2765231453743784e-06,16,0.5,2,80,"{'max_depth': 16, 'max_features': 0.5, 'min_samples_leaf': 2, 'n_estimators': 80}",0.9551148225469729,0.9561586638830898,0.954070981210856,0.9551148225469729,0.0008522928819704797,7
0.06790765126546223,0.0008980530974606398,6.9141387939453125e-06,3.421950362779456e-06,,sqrt,1,40,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 40}",0.9488517745302714,0.9478079331941545,0.9457202505219207,0.9474599860821155,0.0013018988819672621,9
0.0668780008951823,0.006225923427276306,5.0067901611328125e-06,1.557343637328579e-06,,sqrt,2,40,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 40}",0.9405010438413361,0.9498956158663883,0.9509394572025052,0.9471120389700766,0.004694063174402204,10
0.062410593032836914,0.0005744548433104177,3.258387247721354e-06,4.052336624139774e-07,16,sqrt,1,40,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 40}",0.9488517745302714,0.9478079331941545,0.9446764091858038,0.9471120389700766,0.0017741891139849493,10
0.06084736188252767,0.0011322320737597684,5.0067901611328125e-06,7.786718186642895e-07,16,sqrt,2,40,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 40}",0.9405010438413361,0.9498956158663883,0.9509394572025052,0.9471120389700766,0.004694063174402204,10
0.22911993662516275,0.044924849067679226,6.834665934244792e-06,2.2478319205810147e-06,,0.5,2,40,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'n_estimators': 40}",0.9436325678496869,0.94258872651357,0.9467640918580376,0.9443284620737648,0.0017741891139849493,13
0.14994470278422037,0.001076540126065259,3.417332967122396e-06,4.49566384116203e-07,16,0.5,2,40,"{'max_depth': 16, 'max_features': 0.5, 'min_samples_leaf': 2, 'n_estimators': 40}",0.9436325678496869,0.94258872651357,0.9467640918580376,0.9443284620737648,0.0017741891139849493,13
0.15655040740966797,0.007382117500239735,4.0531158447265625e-06,1.0115243642614567e-06,,0.5,1,40,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 40}",0.9488517745302714,0.9446764091858038,0.9331941544885177,0.942240779401531,0.006620145299387767,15
0.1538693110148112,0.005083468563609427,4.3710072835286456e-06,1.1894408501860113e-06,16,0.5,1,40,"{'max_depth': 16, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 40}",0.9488517745302714,0.9446764091858038,0.9331941544885177,0.942240779401531,0.006620145299387767,15
