model,accuracy,precision,recall,f1,roc_auc,log_loss,train_time_sec,fold
Custom Gradient Boosting,0.945054945054945,0.967741935483871,0.8823529411764706,0.9230769230769231,0.9811661506707947,0.2087512275255808,1.9090300420066342,1
Sklearn GradientBoosting,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394,0.9907120743034056,0.11673322821889011,0.2368217079929309,1
Custom Gradient Boosting,0.978021978021978,1.0,0.9411764705882353,0.9696969696969697,0.998968008255934,0.1491531071852065,1.8402977910009213,2
Sklearn GradientBoosting,0.989010989010989,1.0,0.9705882352941176,0.9850746268656716,1.0,0.029303351807901605,0.2285207920067478,2
Custom Gradient Boosting,0.9340659340659341,1.0,0.8235294117647058,0.9032258064516129,0.9832301341589267,0.22251607967023115,1.8689920409960905,3
Sklearn GradientBoosting,0.967032967032967,1.0,0.9117647058823529,0.9538461538461539,0.9938080495356036,0.09979520835839802,0.23100066700135358,3
Custom Gradient Boosting,0.9340659340659341,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9798761609907121,0.21189546727766,1.8682496250112308,4
Sklearn GradientBoosting,0.967032967032967,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9840041279669762,0.12242679924414139,0.22876308400009293,4
Custom Gradient Boosting,0.9560439560439561,0.96875,0.9117647058823529,0.9393939393939394,0.978328173374613,0.18697416470544795,1.8717295419919537,5
Sklearn GradientBoosting,0.978021978021978,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9896800825593396,0.09345101059447405,0.22954933300206903,5
