source_term,target_term,weight
centers,cancer,1.7332645787469572
education,university,1.258037969705205
package,image,1.1202049930240132
volume,satellite,1.0409181714212468
newsletter,space,0.839410319173162
summer,president,0.8382054382159345
centers,center,0.8218378626519844
general,did,0.7772842286752148
young,secretary,0.7771692914316194
april,use,0.7016158661416786
report,local,0.6937421157938808
angeles,los,0.6784534697324539
drug,research,0.6722133219042544
drug,data,0.6420488897152907
states,state,0.62904118651511
young,year,0.5907730171851137
package,satellite,0.5904345328900503
important,engine,0.5885621620985755
federal,police,0.5716400513412864
york,new,0.5582625460402325
science,season,0.5576448733192587
center,nasa,0.5507644981516502
report,better,0.5370189614618778
drug,drugs,0.5342297444885191
reported,power,0.5314031051530933
american,players,0.5253160508988876
child,safety,0.504416470922517
angeles,president,0.5019242257166124
programs,point,0.5013074315448309
centers,research,0.5008917460276698
police,federal,0.5004258204364731
centers,medical,0.49973609317176393
jobs,hope,0.4975351493044028
york,sure,0.4804753359920884
change,oil,0.47953687087070435
science,big,0.4702898216626328
today,won,0.4663471360894171
states,number,0.4651670480237013
programs,image,0.46111338869413054
increased,year,0.45329119404600343
