model,fold,accuracy,roc_auc,log_loss,fit_time_seconds,score_time_seconds
Custom Gradient Boosting,1,0.989010989010989,0.9922600619195047,0.10398866869728494,0.2936420440673828,0.022248268127441406
Custom Gradient Boosting,2,0.978021978021978,0.9989680082559339,0.05973500191416139,0.2842371463775635,0.01962590217590332
Custom Gradient Boosting,3,0.945054945054945,0.9891640866873064,0.19267801345639646,0.2798190116882324,0.019984722137451172
Custom Gradient Boosting,4,0.9340659340659341,0.9891640866873065,0.13933795568673926,0.33507299423217773,0.026000022888183594
Custom Gradient Boosting,5,0.9560439560439561,0.9984520123839009,0.04489199997634058,0.388563871383667,0.028570175170898438
sklearn GradientBoostingClassifier,1,0.989010989010989,0.9907120743034056,0.10466129305570475,0.6714260578155518,0.006162881851196289
sklearn GradientBoostingClassifier,2,0.978021978021978,0.9969040247678018,0.07559838304580396,0.44830989837646484,0.012471914291381836
sklearn GradientBoostingClassifier,3,0.945054945054945,0.9907120743034056,0.1905987188161162,0.3261301517486572,0.005747079849243164
sklearn GradientBoostingClassifier,4,0.9560439560439561,0.9886480908152735,0.13898239445752328,0.2687869071960449,0.005789995193481445
sklearn GradientBoostingClassifier,5,0.989010989010989,0.999484004127967,0.033677850012843666,0.2672109603881836,0.005616188049316406
