iteration,custom_train_avg_log_likelihood
1,-13.309509085326061
2,-12.458839945277262
3,-11.88325033693605
4,-11.821678123406825
5,-11.811772946656031
6,-11.790701129138426
7,-11.738514830448764
8,-11.72710082656854
9,-11.71700086988379
10,-11.7038912636176
11,-11.666678431198205
12,-11.616544944868627
13,-11.580269580152166
14,-11.443591609153108
15,-11.418000803829974
16,-11.416839774830374
17,-11.415520824999856
18,-11.41298526536024
19,-11.40667510245488
20,-11.397548215612797
21,-11.388140849335432
22,-11.37913250564272
23,-11.376484417408657
24,-11.375259544413048
25,-11.374581473201157
26,-11.37367167185404
27,-11.370726497039549
28,-11.358717818632655
29,-11.342189663076896
30,-11.331728454270907
31,-11.318452947687476
32,-11.309964244128365
33,-11.30517275048264
34,-11.300621805967298
35,-11.298746938102216
36,-11.297598216756443
37,-11.296191369218894
38,-11.294882753579657
39,-11.294171703212028
40,-11.293940302712972
41,-11.29388048862126
