feature,oob_accuracy_drop
FarePerPerson,0.03350722311396465
Title_Mr,0.029293739967897255
Age,0.027688603531300125
Pclass,0.024277688603531283
TicketGroupSize,0.012038523274478328
Sex_male,0.012038523274478328
Deck_Unknown,0.009430176565008013
Fare,0.007223113964686968
Embarked_S,0.006420545746388443
Sex_female,0.0040128410914927705
Embarked_C,0.0024077046548956404
SibSp,0.0022070626003210287
Parch,0.001805778491171774
Deck_D,0.001805778491171758
Title_Miss,0.001605136436597083
Title_Rare,0.001404494382022503
Deck_E,0.0014044943820224873
Title_Master,0.0012038523274478599
Deck_C,0.0012038523274478599
FamilySize,0.0012038523274478438
Deck_B,0.0002006420545746433
Embarked_Q,0.0
Deck_A,0.0
Deck_F,0.0
Deck_G,0.0
Deck_T,0.0
IsAlone_No,-0.0006019261637239299
IsAlone_Yes,-0.0010032102728732165
Title_Mrs,-0.0022070626003210764
